BoroCT2010,n_report,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,class
5000900,0,2826.76413,0,79.85915538,3,1575,Approaching Target,0.072,0.056,0.757,0.112,0.377777785,0.811428547,56192,2112,GROCERY SUPERMARKET,40.64056096,-74.08220738,1
5000900,0,1703.127328,1,924.9709541,3,427,Approaching Target,0.009,0.26,0.7,0.009,0.674603164,1,56192,2112,CONVENIENCE STORE,40.64199832,-74.07897485,1
5000900,0,2929.402252,0,5998.612261,3,589,Approaching Target,0.019,0.649,0.195,0.104,0.46349746,0.728353143,56192,2112,GROCERY SUPERMARKET,40.64056096,-74.08220738,1
5007400,0,1740.529846,0,2489.816362,2,415,Exceeding Target,0.092,0.424,0.422,0.046,0.508100152,0.684830606,65559,4693,GROCERY SUPERMARKET,40.59164726,-74.06766218,1
5007400,0,630.5870281,0,941.3820962,2,307,Meeting Target,0.003,0.863,0.114,0.01,0.387622148,0.856677532,65559,4693,GROCERY SUPERMARKET,40.59571268,-74.06324464,1
1003200,1,9851.468542,0,45440.35092,13,3907,Meeting Target,0.79,0.019,0.125,0.051,0.48323521,0.288968503,52203,8234,GROCERY SUPERMARKET,40.72306002,-73.98272624,2
1003200,0,2171.805499,0,1430.305098,13,392,Exceeding Target,0.046,0.263,0.648,0.02,0.528061211,0.744897962,52203,8234,DELICATESSEN,40.72333242,-73.98271417,1
1003200,0,5163.337337,0,403.4434781,13,3834,Meeting Target,0.295,0.09,0.337,0.249,0.515127778,0.613458514,52203,8234,GROCERY SUPERMARKET,40.72461018,-73.98158635,1
1003200,0,136.1102985,0,1502.081376,13,186,Meeting Target,0.065,0.269,0.634,0.016,0.65053761,0.833333313,52203,8234,CONVENIENCE STORE,40.72492021,-73.98136606,1
1003200,0,934.8393061,0,78.61216486,13,211,Meeting Target,0.118,0.137,0.555,0.19,0.47950089,0.358288765,52203,8234,GROCERY SUPERMARKET,40.7250391,-73.9843067,1
1003200,0,2283.073807,0,2395.753353,13,288,Approaching Target,0.024,0.038,0.913,0.024,0.479166657,0.90625,52203,8234,CONVENIENCE STORE,40.72536894,-73.98407709,1
1003200,0,1522.158059,0,579.3085773,13,549,Meeting Target,0.024,0.716,0.177,0.062,0.45173043,0.741347909,52203,8234,GROCERY SUPERMARKET,40.72622911,-73.98343721,1
1003200,0,3856.199681,0,519.9604342,13,211,Meeting Target,0.118,0.137,0.555,0.19,0.47950089,0.358288765,52203,8234,GROCERY SUPERMARKET,40.72628971,-73.98339758,1
1003200,0,4653.335738,0,1624.201586,13,3986,Meeting Target,0.223,0.293,0.123,0.35,0.549172103,0.501756132,52203,8234,CONVENIENCE STORE,40.7270613,-73.98565406,1
1003200,1,1190.47821,0,494.2164275,13,286,Meeting Target,0.014,0.294,0.654,0.035,0.5,0.789682567,52203,8234,GROCERY SUPERMARKET,40.72452924,-73.98460369,2
1003200,0,2767.885774,0,596.7565947,13,494,Meeting Target,0.006,0.399,0.575,0.006,0.447368413,1,52203,8234,GROCERY SUPERMARKET,40.727731,-73.98517541,1
1003200,0,1068.740079,1,1146.704673,13,3321,Meeting Target,0.045,0.291,0.309,0.322,0.532369792,0.772357702,52203,8234,GROCERY SUPERMARKET,40.72810124,-73.98490261,1
1003200,0,863.0214521,1,339.5336097,13,128,,0.016,0.117,0.578,0.008,0.6015625,0.546875,52203,8234,CONVENIENCE STORE,40.72718018,-73.98275654,1
1009600,0,251.0168775,2,629.6201409,13,2148,Exceeding Target,0.111,0.056,0.478,0.316,0.194134071,1,36906,155,TOBACCO RETAIL,40.7564514,-73.98289524,1
1009600,0,3155.139318,1,790.5693903,13,1277,Meeting Target,0.171,0.078,0.551,0.176,0.436178535,0.742364943,36906,155,CONVENIENCE STORE,40.75490706,-73.98212948,1
1009600,0,962.4862949,0,982.9908573,13,913,Meeting Target,0.02,0.353,0.582,0.035,0.31215772,0.732749164,36906,155,GROCERY SUPERMARKET,40.75398629,-73.98199894,1
1009600,0,1492.750564,2,1834.529343,13,337,Meeting Target,0.003,0.596,0.362,0.003,0,0.841549277,36906,155,PHARMACY,40.75772609,-73.98195728,1
1009600,0,1678.493027,1,1003.383077,13,425,Meeting Target,0.009,0.238,0.701,0.024,0.644705892,0.816470563,36906,155,GROCERY SUPERMARKET,40.75474804,-73.98173186,1
1009600,0,806.7874508,1,1010.224767,13,1700,Meeting Target,0.075,0.183,0.529,0.204,0.702941179,1,36906,155,GROCERY SUPERMARKET,40.75532666,-73.98114927,1
1009600,0,3519.150246,1,288.8435761,13,546,Exceeding Target,0.359,0.234,0.187,0.211,0.575920224,0.480061352,36906,155,CONVENIENCE STORE,40.75687448,-73.98110148,1
1009600,0,3914.229463,1,1266.21453,13,333,,0.249,0.387,0.216,0.141,0.492492497,0.687687695,36906,155,CONVENIENCE STORE,40.75900042,-73.98100761,1
1009600,0,3928.257993,1,444.938872,13,314,Exceeding Target,0.025,0.481,0.15,0.303,1,1,36906,155,CONVENIENCE STORE,40.75900042,-73.98100761,1
1009600,0,1387.667139,0,1864.069722,13,2386,Meeting Target,0.031,0.235,0.364,0.323,0.435456842,0.772003353,36906,155,GROCERY SUPERMARKET,40.75562503,-73.98009213,1
1009600,0,7378.901783,1,24115.09836,13,1493,Approaching Target,0.212,0.265,0.447,0.066,0.477561951,0.680509031,36906,155,CONVENIENCE STORE,40.75732039,-73.98004743,1
