,id,BoroCT2010,n_report,DBN,school_distance,n_school,subway_distance,n_tobacco,Enrollment,Student Achievement Rating,Percent White,Percent Black,Percent Hispanic,Percent Asian,% Female,% Poverty,MHI,Total Population,type,latitude,longitude,have_sold
0,19157,5000900,0.0,24Q600,2826.76412957,0.0,79.8591553755,3,1575,Approaching Target,0.072,0.056,0.757,0.112,0.377777785063,0.811428546906,56192,2112,GROCERY SUPERMARKET,40.640560957,-74.082207382,0
1,18026,5000900,0.0,10X225,1703.12732761,1.0,924.970954132,3,427,Approaching Target,0.009,0.26,0.7,0.009,0.674603164196,1.0,56192,2112,CONVENIENCE STORE,40.641998315,-74.078974846,0
2,12113,5000900,0.0,28Q690,2929.40225157,0.0,5998.61226062,3,589,Approaching Target,0.019,0.649,0.195,0.104,0.463497459888,0.728353142738,56192,2112,GROCERY SUPERMARKET,40.640560957,-74.082207382,0
3,13601,5007400,0.0,15K448,1740.52984579,0.0,2489.81636204,2,415,Exceeding Target,0.092,0.424,0.422,0.046,0.508100152016,0.684830605984,65559,4693,GROCERY SUPERMARKET,40.591647258,-74.067662176,0
4,10482,5007400,0.0,23K493,630.587028108,0.0,941.382096158,2,307,Meeting Target,0.003,0.863,0.114,0.01,0.387622147799,0.856677532196,65559,4693,GROCERY SUPERMARKET,40.595712681,-74.063244639,0
5,17252,1003200,1.0,31R455,9851.46854164,0.0,45440.3509177,13,3907,Meeting Target,0.79,0.019,0.125,0.051,0.48323521018,0.288968503475,52203,8234,GROCERY SUPERMARKET,40.72306002,-73.982726237,1
6,13757,1003200,0.0,84K693,2171.80549881,0.0,1430.30509802,13,392,Exceeding Target,0.046,0.263,0.648,0.02,0.528061211109,0.744897961617,52203,8234,DELICATESSEN,40.723332421,-73.982714171,0
7,11653,1003200,0.0,28Q440,5163.33733688,0.0,403.443478078,13,3834,Meeting Target,0.295,0.09,0.337,0.249,0.515127778053,0.613458514214,52203,8234,GROCERY SUPERMARKET,40.72461018,-73.981586345,0
8,13600,1003200,0.0,02M047,136.110298507,0.0,1502.08137646,13,186,Meeting Target,0.065,0.269,0.634,0.016,0.650537610054,0.833333313465,52203,8234,CONVENIENCE STORE,40.724920212,-73.981366059,0
9,10150,1003200,0.0,84Q705,934.8393061,0.0,78.6121648645,13,211,Meeting Target,0.118,0.137,0.555,0.19,0.479500889778,0.358288764954,52203,8234,GROCERY SUPERMARKET,40.725039096,-73.9843067,0
10,19695,1003200,0.0,02M427,2283.07380701,0.0,2395.75335264,13,288,Approaching Target,0.024,0.038,0.913,0.024,0.479166656733,0.90625,52203,8234,CONVENIENCE STORE,40.725368942,-73.98407709,0
11,11148,1003200,0.0,13K419,1522.15805899,0.0,579.308577295,13,549,Meeting Target,0.024,0.716,0.177,0.062,0.451730430126,0.741347908974,52203,8234,GROCERY SUPERMARKET,40.726229106,-73.983437212,0
12,17982,1003200,0.0,84Q705,3856.19968095,0.0,519.96043423,13,211,Meeting Target,0.118,0.137,0.555,0.19,0.479500889778,0.358288764954,52203,8234,GROCERY SUPERMARKET,40.726289714,-73.983397584,0
