Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34791225,11/16/2016 11:35:43 PM,11/18/2016 10:33:44 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11375,,,,,108 STREET,64 AVENUE,INTERSECTION,FOREST HILLS,,N/A,Closed,12/24/2016 10:33:36 AM,11/18/2016 10:33:44 AM,06 QUEENS,QUEENS,1025931,206343,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73294232469351,-73.84960508550044,"(40.73294232469351, -73.84960508550044)"
34799608,11/17/2016 02:58:39 PM,11/18/2016 01:03:46 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Prohibited Item Sale to Minor,,10472,1014 CASTLEHILL AVENUE,CASTLEHILL AVENUE,BRUCKNER BOULEVARD,CHATTERTON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,12/24/2016 01:03:27 PM,11/18/2016 01:03:46 PM,09 BRONX,BRONX,1025733,240962,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82796309710093,-73.85010576618188,"(40.82796309710093, -73.85010576618188)"
34808499,11/18/2016 06:10:04 PM,11/21/2016 10:03:36 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10468,41 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,DAVIDSON AVENUE,GRAND AVENUE,,,ADDRESS,BRONX,,N/A,Closed,12/27/2016 10:03:32 AM,11/21/2016 10:03:36 AM,07 BRONX,BRONX,1012147,255465,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.867822888428755,-73.89913687981353,"(40.867822888428755, -73.89913687981353)"
34812250,11/20/2016 01:24:25 AM,11/21/2016 10:03:37 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10457,351 EAST 173 STREET,EAST 173 STREET,CLAY AVENUE,ANTHONY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,12/27/2016 10:03:33 AM,11/21/2016 10:03:37 AM,04 BRONX,BRONX,1010566,246554,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.843369723446614,-73.90488804873979,"(40.843369723446614, -73.90488804873979)"
34847608,11/23/2016 10:08:40 PM,11/25/2016 10:33:47 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11203,216 RIDGEWOOD STREET,RIDGEWOOD STREET,LINDEN BOULEVARD,CHURCH AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,12/31/2016 10:33:32 AM,11/25/2016 10:33:47 AM,17 BROOKLYN,BROOKLYN,999289,176750,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65180182300957,-73.94580174785881,"(40.65180182300957, -73.94580174785881)"
34848827,11/23/2016 06:38:12 PM,11/25/2016 10:03:50 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,,,,,,NEW LOTS AVE,MOTHER GASTON BOULEVARD,,,,N/A,Closed,12/31/2016 10:03:30 AM,11/25/2016 10:03:50 AM,Unspecified BROOKLYN,BROOKLYN,,,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
34855254,11/25/2016 02:02:49 AM,11/28/2016 10:34:15 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10474,770A HUNTS POINT AVENUE,HUNTS POINT AVENUE,FAILE STREET,COSTER STREET,,,ADDRESS,BRONX,,N/A,Closed,01/03/2017 10:33:37 AM,11/28/2016 10:34:15 AM,02 BRONX,BRONX,1015455,236567,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81594236758427,-73.88726457323396,"(40.81594236758427, -73.88726457323396)"
34861758,11/26/2016 03:30:18 AM,11/28/2016 04:03:42 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,10025,70 WEST DUKE ELLINGTON BOULEVARD,DUKE ELLINGTON BOULEVARD,MANHATTAN AVENUE,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,11/30/2016 03:30:18 AM,11/28/2016 04:03:42 PM,07 MANHATTAN,MANHATTAN,994738,230345,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79891358671478,-73.96211932692883,"(40.79891358671478, -73.96211932692883)"
34868111,11/25/2016 12:41:01 PM,11/28/2016 10:34:17 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11208,216 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,HIGHLAND PLACE,HALE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/03/2017 10:33:37 AM,11/28/2016 10:34:17 AM,05 BROOKLYN,BROOKLYN,1017293,188272,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68337824047935,-73.88086167327577,"(40.68337824047935, -73.88086167327577)"
34875934,11/28/2016 11:10:20 PM,11/30/2016 12:34:07 PM,DCA,Department of Consumer Affairs,Consumer Complaint,Cigarette Sale to Minor,,11105,,,,,21 AVENUE,31 STREET,INTERSECTION,ASTORIA,,N/A,Closed,01/05/2017 12:33:32 PM,11/30/2016 12:34:07 PM,01 QUEENS,QUEENS,1009601,222722,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77796036514822,-73.90846577892076,"(40.77796036514822, -73.90846577892076)"
